species,bio1_mean_temp,bio12_precip,bio4_temp_seasonality,bio15_precip_seasonality,bio5_max_temp,bio6_min_temp,ndvi_mean,alan_nightlight,elevation,raw_edge_density,raw_entropy,raw_luminance,raw_contrast,raw_saturation
Spodoptera frugiperda,17.005576404285716,1003.8458646616541,740.0858088759398,35.350784745864665,32.51992481203007,0.48909774436090225,0.5018768783834586,19.590024866804512,246.42105263157896,0.25640504567445577,7.144218375061108,110.46573686244788,41.82104919563959,79.57432991566228
Spodoptera hipparis,15.171153615384615,654.8974358974359,475.69104435897435,89.46084792307693,31.453846153846154,-0.9076923076923078,0.43650642025641023,2.8158737076923077,1831.5641025641025,0.28761539932851826,6.701246160164769,130.3103517140968,43.63671462286284,101.48037875427717
Spodoptera latifascia,21.13371079347826,1454.427536231884,448.91334142028984,46.95227511231884,32.255797101449275,9.095289855072464,0.6066096040217391,18.680209861992754,314.2173913043478,0.2740584678452084,7.271739603561906,131.82559145422837,49.67406592712989,84.91330324075047
Spodoptera littoralis,18.315277830917875,624.9710144927536,474.97869414975844,70.30837962801932,30.70966183574879,6.809178743961352,0.4547113552173913,18.522440177101448,369.2512077294686,0.2909966483486494,7.181594208601578,115.43040594469042,45.82150826556658,100.63863914055106
Spodoptera litura,20.29656490076336,1898.9809160305344,396.0848003129771,55.746378080152674,29.486641221374047,10.03854961832061,0.6517213774809161,13.547199853664123,212.25572519083968,0.2895149893227305,7.347543439257148,119.19783219643958,49.928068081608714,90.03952402613736
Spodoptera mauritia,20.01796332167832,1441.986013986014,363.9771825909091,51.62749716083916,29.261188811188813,9.03041958041958,0.6580900342307693,6.682392054965035,149.23076923076923,0.2873402472533146,7.263471892623269,113.30339244981208,46.08253594043316,84.53411785138671
Spodoptera ornithogalli,15.37946640971223,1033.8273381294964,800.1917484172662,26.695528905755395,32.000359712230214,-1.6938848920863308,0.5311474813669065,16.813111758669063,234.1978417266187,0.28893262486616794,7.378914958487685,115.45691524255831,50.56793872385197,84.23259963227002
Spodoptera pecten,22.754976086330934,2275.705035971223,354.1568047338129,53.190658669064746,30.754676258992802,14.223741007194244,0.6436528784172663,19.938552786330938,215.37410071942446,0.23203690198389493,7.070313427766147,140.55262282559102,41.089947999969546,76.42307037267192
Spodoptera pectinicornis,21.046579731343286,2344.776119402985,489.1830752238806,48.082988119402984,30.665671641791043,11.061194029850746,0.6102574643283581,10.39382127164179,177.40298507462686,0.25277945921936446,7.072160561146024,112.20924155347663,38.88107079884,85.65437642500969
Spodoptera picta,19.40250928624535,1486.368029739777,374.76016673977693,38.897839416356874,28.465055762081786,8.966171003717472,0.6121644956505576,15.615921695130112,104.95167286245353,0.27464338072308075,7.37524709904623,135.77737759875606,56.899790113143915,91.77886695699921
Spodoptera praefica,10.768861186476869,502.4590747330961,745.3801642348755,54.75260047686833,30.201067615658364,-3.8185053380782916,0.4351761562989324,12.618396864483985,658.1957295373666,0.3091662860992821,6.745936349348725,119.62756848168657,49.389668136699036,107.41634810680806
Spodoptera pulchella,23.174820526315788,1376.3349282296651,400.97405617224877,52.53267153588517,32.80047846889952,11.764114832535885,0.5450322932057416,35.64756972057416,22.20095693779904,0.2915165469267637,6.264597276920605,132.35875983851827,59.622774484365166,112.81306097010778
Spodoptera triturata,18.924698130434784,930.7536231884058,254.35056685507246,60.70383976811594,27.32608695652174,8.371014492753623,0.5901992931884058,4.9411973723188405,821.1884057971015,0.2936286287990435,7.072135830424051,127.82068346729204,53.94021718944744,108.14501487748342
Spodoptera umbraculata,18.597471647457628,1371.5762711864406,387.4204540677966,45.10575436949153,28.26169491525424,7.153898305084746,0.7417169477288136,0.7739968193220339,195.23389830508475,0.3136556381346071,7.4047903852199655,117.30637107703319,50.62954796620544,93.43029897645661
Spragueia apicalis,17.847232180212014,1259.6537102473499,628.6343724063605,42.33989754946996,32.2095406360424,2.790812720848056,0.6320715587985866,4.472008907279152,238.3427561837456,0.24200550383386482,7.229612081384975,133.4907017375611,53.890729789453914,111.0895026058632
Spragueia funeralis,16.07673611742424,463.75,671.32290375,72.89803607575757,32.96969696969697,0.1640151515151515,0.3092575756818182,0.8584990243560606,1421.3863636363637,0.2518907692436333,7.284212764214951,117.30311437087286,53.48602649196162,79.95699426059096
Spragueia guttata,20.51235571280277,829.3356401384083,654.0842219377162,41.03418428027682,34.77231833910035,4.696539792387543,0.4955865031141868,14.36321324051903,204.10034602076124,0.2746612008665523,7.333778711546796,122.97284383625524,52.72121719747953,105.34758337908012
Spragueia jaguaralis,19.35925298662207,677.5150501672241,674.0373928093645,49.54552586956522,34.55953177257525,2.663210702341137,0.4315535100668896,7.847813946454849,512.6488294314381,0.2644228886588164,7.352692819839545,117.51971309745575,49.52348014530531,112.19921370692408
Spragueia magnifica,17.97275529889299,424.37269372693726,698.3893849446495,70.53059381180812,35.02214022140221,0.8365313653136531,0.28301106915129154,2.1282933762730627,1051.6863468634685,0.25664025784641137,7.234612664325856,113.280300292028,57.423048094287644,92.91510668069073
Spragueia perstructana,21.202576736842108,1616.8092105263158,430.35403346052635,44.97104140789474,31.85986842105263,9.634868421052632,0.6087450669078948,9.488129344078947,284.0131578947368,0.2641212749190311,7.281250252747631,109.72612133046586,49.62709106892739,91.08781164074813
Standfussiana lucernea,2.399353832171123,1161.6844919786097,610.1188121925134,25.214248529411766,15.311229946524064,-8.314438502673797,0.3553596272566845,2.0436207820320855,1532.3048128342245,0.2504764916228095,6.835078291623227,124.90015072419143,41.133419666075625,85.81949152992898
Standfussiana wiskotti,-2.197324152293578,1164.2477064220184,578.3491280733945,16.94085819266055,9.63394495412844,-12.78165137614679,0.29257797327522933,0.5543283123853211,2599.6880733944954,0.250077306423914,6.8040351034446935,129.24008200279505,38.84031432889084,121.60390504759818
Staurophora celsia,5.884457235697369,672.25,885.4890884210525,34.683057901315784,22.92171052631579,-9.31513157894737,0.5083865109868422,6.392939909078947,199.4078947368421,0.2066742966899476,7.063726220042608,142.4003214599397,48.12040043741797,84.39145210182683
Stauropides persimilis,24.150220470588234,2368.994117647059,81.24511557058824,67.66674958823529,30.419999999999998,18.621176470588235,0.7686029522352942,0.2064253288235294,480.6823529411765,0.26882020053750405,7.408283869314616,153.6001226212505,50.74147034991317,72.26629983445831
Stenoloba jankowskii,10.954722180000001,1495.3666666666666,906.2317006666667,62.07906036666667,27.586666666666666,-6.22,0.6218583276666667,2.699648680666667,525.9666666666667,0.2557597531077115,7.371578720049067,117.02055173245766,54.43482264804863,70.03678378290978
